 PARM = EPCP;SLAT;SLON;IGPT;JGPT                                                 

    STN    YYMMDD/HHMM      EPCP     SLAT     SLON     IGPT     JGPT
   KENV    060113/0000      1.59    40.73  -114.03    64.06    67.99
   KEOK    060113/0000      0.01    40.47   -91.43   112.73    64.47
   KEPH    060113/0000      1.79    47.32  -119.52    55.81    88.73
   KEQY    060113/0000      0.08    35.01   -80.62   137.68    50.76
   KERI    060113/0000      0.46    42.08   -80.18   136.50    70.69
   KERY    060113/0000      0.14    46.31   -85.46   124.44    81.96
   KESC    060113/0000      0.04    45.75   -87.05   121.30    80.10
   KESF    060113/0000      0.03    31.38   -92.30   111.35    39.05
   KEST    060113/0000      0.84    43.40   -94.75   105.53    72.77
   KETB    060113/0000      0.00    43.42   -88.13   119.43    73.19
   KETH    060113/0000      0.17    45.70   -96.50   101.92    79.49
   KEUG    060113/0000     12.80    44.12  -123.22    46.54    80.96
   KEUL    060113/0000      0.71    43.63  -116.63    59.84    77.05
   KEVM    060113/0000      0.88    47.40   -92.50   110.04    84.55
   KEVW    060113/0000      3.33    41.27  -111.03    70.66    68.68
   KEWK    060113/0000      0.04    38.05   -97.28    99.95    57.57
   KEWN    060113/0000      0.71    35.08   -77.05   145.73    51.92
   KEWR    060113/0000      4.14    40.70   -74.17   149.80    68.47
   KEXX    060113/0000      0.10    35.78   -80.30   138.18    52.97
   KEZF    060113/0000      0.34    38.27   -77.45   143.67    60.65
   KFAF    060113/0000      0.65    37.13   -76.61   145.95    57.72
   KFAR    060113/0000      0.54    46.90   -96.80   101.35    83.04
   KFAT    060113/0000      0.07    36.77  -119.72    49.91    58.97
   KFAY    060113/0000      0.13    35.00   -78.88   141.62    51.18
   KFBG    060113/0000      0.13    35.13   -78.93   141.47    51.53
   KFBL    060113/0000      0.57    44.33   -93.32   108.50    75.49
   KFCA    060113/0000      3.13    48.30  -114.27    66.68    89.92
   KFCM    060113/0000      0.46    44.83   -93.45   108.21    76.95
   KFDK    060113/0000      0.57    39.42   -77.37   143.43    63.89
   KFDY    060113/0000      0.02    41.02   -83.67   129.36    66.95
   KFET    060113/0000      0.50    41.45   -96.52   101.74    67.18
   KFFC    060113/0000      0.03    33.35   -84.56   129.10    45.35
   KFFL    060113/0000      0.06    41.05   -91.98   111.50    66.09
   KFFM    060113/0000      0.28    46.28   -96.15   102.66    81.19
   KFFO    060113/0000      0.00    39.83   -84.05   128.82    63.51
   KFGN    060113/0000      3.76    49.32   -94.88   105.24    90.27
   KFHR    060113/0000      7.34    48.51  -123.01    49.63    93.56
   KFIG    060113/0000      0.93    41.04   -78.41   140.61    68.17
   KFIT    060113/0000      8.69    42.55   -71.75   154.05    74.53
   KFKL    060113/0000      0.52    41.38   -79.87   137.38    68.77
   KFKN    060113/0000      0.57    36.70   -76.90   145.47    56.45
   KFLD    060113/0000      0.01    43.77   -88.48   118.65    74.17
   KFLL    060113/0000      0.21    26.07   -80.15   141.44    26.42
   KFLO    060113/0000      0.05    34.18   -79.72   139.98    48.70
   KFLP    060113/0000      0.03    36.30   -92.46   110.72    52.68
   KFMN    060113/0000      0.09    36.75  -108.23    75.40    55.33
   KFMY    060113/0000      0.19    26.58   -81.86   137.12    27.37
   KFNB    060113/0000      0.33    40.07   -95.58   103.74    63.23
   KFNL    060113/0000      1.18    40.45  -105.02    83.33    65.11
   KFNT    060113/0000      0.07    42.97   -83.73   128.77    72.52
   KFOD    060113/0000      0.73    42.55   -94.18   106.74    70.32
   KFOE    060113/0000      0.13    38.95   -95.67   103.53    60.07
   KFOK    060113/0000      6.08    40.85   -72.63   153.01    69.42
   KFOZ    060113/0000      1.51    47.78   -93.65   107.71    85.65
   KFPK    060113/0000      0.03    42.57   -84.81   126.58    71.19
   KFPR    060113/0000      0.29    27.49   -80.36   140.51    30.23
   KFQD    060113/0000      0.05    35.43   -81.94   134.58    51.62
   KFRG    060113/0000      5.10    40.73   -73.41   151.40    68.81
   KFRM    060113/0000      0.81    43.65   -94.42   106.22    73.50
   KFSD    060113/0000      0.44    43.57   -96.73   101.37    73.29
   KFSE    060113/0000      0.24    45.50   -95.70   103.56    78.89
   KFSM    060113/0000      0.04    35.33   -94.37   106.43    49.92
   KFSW    060113/0000      0.01    40.67   -91.33   112.93    65.04
   KFTW    060113/0000      0.00    32.82   -97.35    99.55    43.01
   KFTY    060113/0000      0.01    33.78   -84.52   129.10    46.55
   KFUL    060113/0000      0.01    33.87  -117.97    52.41    50.33
   KFVX    060113/0000      0.13    37.35   -78.43   141.84    57.81
   KFWN    060113/0000      4.05    41.19   -74.62   148.63    69.71
   KFXE    060113/0000      0.23    26.20   -80.18   141.33    26.76
   KFYV    060113/0000      0.02    36.00   -94.17   106.87    51.79
   KFZY    060113/0000      3.82    43.34   -76.38   144.04    75.28
   KGAD    060113/0000      0.00    33.97   -86.08   125.49    46.82
   KGBD    060113/0000      0.03    38.35   -98.87    96.46    58.49
   KGCC    060113/0000      0.23    44.35  -105.53    83.10    76.38
   KGCK    060113/0000      0.01    37.93  -100.72    92.32    57.46
   KGDV    060113/0000      0.05    47.13  -104.80    85.21    84.42
   KGED    060113/0000      1.40    38.69   -75.36   148.08    62.45
   KGEG    060113/0000      1.61    47.63  -117.53    59.92    88.94
   KGEV    060113/0000      0.06    36.43   -81.41   135.50    54.52
   KGEY    060113/0000      0.75    44.51  -108.07    77.88    77.30
   KGFK    060113/0000      1.82    47.95   -97.18   100.63    86.18
   KGFL    060113/0000      6.93    43.35   -73.62   149.78    76.16
   KGGG    060113/0000      0.03    32.38   -94.72   105.65    41.75
   KGGW    060113/0000      0.24    48.22  -106.62    81.82    87.95
   KGHW    060113/0000      0.25    45.65   -95.32   104.34    79.33
   KGIF    060113/0000      0.27    28.07   -81.75   136.99    31.46
   KGJT    060113/0000      1.15    39.12  -108.53    75.39    62.02
   KGKJ    060113/0000      0.44    41.62   -80.21   136.58    69.37
   KGKY    060113/0000      0.01    32.66   -97.09   100.14    42.56
   KGLD    060113/0000      0.08    39.37  -101.70    90.36    61.61
   KGLH    060113/0000      0.03    33.48   -90.98   114.28    44.92
   KGLR    060113/0000      0.23    45.01   -84.70   126.27    78.26
   KGMJ    060113/0000      0.00    36.61   -94.74   105.58    53.49
   KGMU    060113/0000      0.03    34.85   -82.35   133.81    49.93
   KGNA    060113/0000      0.83    47.75   -90.35   114.33    85.71
   KGNV    060113/0000      0.18    29.68   -82.27   135.32    35.74
   KGON    060113/0000      7.29    41.33   -72.05   154.01    70.98
   KGOV    060113/0000      0.21    44.68   -84.73   126.29    77.30
   KGPT    060113/0000      0.01    30.40   -89.07   119.06    36.60
